date,PORTFOLIO_RETURN,MARKET_RETURN
2025-10-03,0.015832343884647822,0.007300124496824627
2025-10-04,0.041125532575288545,-0.008219690848106373
2025-10-05,0.012235932935463224,0.0024877177912886426
2025-10-06,-0.0019526608110902993,0.019238372712914113
2025-10-07,-0.0934066210774204,-0.05422971011880477
2025-10-08,0.08909989908381535,0.03219502978135141
2025-10-09,0.028622540143110324,-0.012630640301590472
2025-10-10,-0.19925910829731935,-0.19408872039816055
2025-10-11,0.07484929449588013,0.0073917069346317995
2025-10-12,0.05475646823350895,0.07606508584367944
2025-10-13,0.031661636736365274,0.02751453993965162
2025-10-14,-0.0345889457705598,-0.036890886227242244
2025-10-15,-0.048316792946171146,-0.03995234054791348
2025-10-16,-0.04988765179443137,-0.03904197516144876
2025-10-17,-0.010846015341483127,-0.027063541789905967
2025-10-18,0.02329596961244195,0.01727769532947852
2025-10-19,0.03237902080390227,0.020462240668493274
2025-10-20,0.030385116875775373,0.021373316507923682
2025-10-21,-0.03806223856151428,-0.030700315341705385
2025-10-22,-0.04079430263442002,-0.02150344246642874
2025-10-23,0.0494162466819059,0.028432053308001946
2025-10-24,0.030787411121793524,0.018641763038226504
2025-10-25,0.011824960540974625,0.011958287817174586
2025-10-26,0.0788860102378671,0.045689258037500464
2025-10-27,-0.004658847084936524,-0.008308947431037652
2025-10-28,-0.0227429328018485,-0.01923547313904433
2025-10-29,0.017656173101737126,0.005269005354183938
2025-10-30,-0.0330531702080887,-0.043260103403214824
2025-10-31,0.06056752320683832,0.021159835493597106
2025-11-01,0.013836918677687776,0.008451101077236324
2025-11-02,0.0028880684976072503,-0.0022838711475287273
2025-11-03,-0.09378436601209586,-0.09573742937732506
2025-11-04,-0.019486711843033175,-0.03864929234993132
2025-11-05,0.046616396986166674,0.0389218279551944
2025-11-06,0.0040170403932290495,-0.028875859037340298
2025-11-07,0.08642921452137645,0.07805808884261327
2025-11-08,-0.013165980369684801,-0.014956360263078347
2025-11-09,0.012857607613126674,0.019960909342299524
2025-11-10,0.02870964965908395,0.02072674659524693
2025-11-11,-0.05346235554699805,-0.05843221263519749
2025-11-12,-0.016552783665853527,-0.005202002839324823
2025-11-13,0.0013305676824904257,-0.02167855858327335
2025-11-14,-0.05017122699980202,-0.037045210820167436
2025-11-15,0.0162499380627479,0.022193478724891257
2025-11-16,-0.03607207103988072,-0.023112049267347008
2025-11-17,-0.04176824449610818,-0.03311466847350577
2025-11-18,0.039325021246102425,0.032738669407869854
2025-11-19,-0.032101499213808976,-0.027450945174115445
2025-11-20,-0.05425170124367948,-0.04695408468435035
2025-11-21,-0.011025551424504974,-0.036027053233318354
2025-11-22,-0.00048631716456629896,-0.006608505700355311
2025-11-23,0.016190834058548174,0.026720098107095885
2025-11-24,0.05936797584990518,0.03402251346976596
2025-11-25,0.00900914818191245,0.003095304228094115
2025-11-26,-0.00014749339264220028,0.02274541532245531
2025-11-27,-0.0017943816348395753,-0.007514740948507567
2025-11-28,-0.01999560165911405,-0.014624969029398013
2025-11-29,-0.016842781270294423,-0.01020202545252291
2025-11-30,-0.0094673047401349,-0.012820679119816089
